Unnamed: 0,date,day,info,output,strategy_result,day1-date,day1-day,day1-high,day1-high-time,day2-date,day2-day,day2-high,day2-high-timestamp,day2-low,day2-low-timestamp,day3-date,day3-day,day3-high,day3-low,day3-low-timestamp,day3-pct-change,pct,100000,pnl_pct
45,2/11/2016,Thursday,THURSDAY HIGH > FRIDAY HIGH,FRIDAY LOW < MONDAY LOW,False,2/11/2016,Thursday,7208.0,2016-02-11 09:15:00+05:30,2/12/2016,Friday,7034.2,2016-02-12 14:49:00+05:30,6869.85,2016-02-12 12:34:00+05:30,2/15/2016,Monday,7512.3,7057.35,2016-02-15 09:15:00+05:30,1.429006638,-1.429006638,116773.2944,-0.014290066379999999
46,2/15/2016,Monday,MONDAY HIGH > WEDNESDAY HIGH,WEDNESDAY LOW < THURSDAY LOW,False,2/15/2016,Monday,7182.4,2016-02-15 13:29:00+05:30,2/17/2016,Wednesday,7123.35,2016-02-17 15:29:00+05:30,6962.4,2016-02-17 10:11:00+05:30,2/18/2016,Thursday,7208.0,7128.0,2016-02-18 14:25:00+05:30,0.015325884,-0.015325884,116755.3979,-0.00015325884
47,2/22/2016,Monday,MONDAY HIGH > WEDNESDAY HIGH,WEDNESDAY LOW > THURSDAY LOW,True,2/22/2016,Monday,7252.2,2016-02-22 14:05:00+05:30,2/24/2016,Wednesday,7090.7,2016-02-24 13:06:00+05:30,7012.45,2016-02-24 15:00:00+05:30,2/25/2016,Thursday,7215.0,6961.45,2016-02-25 15:05:00+05:30,-0.660753786,0.660753786,117526.8636,0.00660753786
48,3/10/2016,Thursday,THURSDAY HIGH > FRIDAY HIGH,FRIDAY LOW < MONDAY LOW,False,3/10/2016,Thursday,7547.05,2016-03-10 09:15:00+05:30,3/11/2016,Friday,7543.75,2016-03-11 10:00:00+05:30,7462.2,2016-03-11 12:01:00+05:30,3/14/2016,Monday,7094.0,7515.1,2016-03-14 14:39:00+05:30,-0.172354361,0.172354361,117729.4263,0.00172354361
49,3/14/2016,Monday,MONDAY HIGH > WEDNESDAY HIGH,WEDNESDAY LOW < THURSDAY LOW,False,3/14/2016,Monday,7583.15,2016-03-14 09:26:00+05:30,3/16/2016,Wednesday,7507.5,2016-03-16 15:18:00+05:30,7405.25,2016-03-16 12:38:00+05:30,3/17/2016,Thursday,7547.05,7479.55,2016-03-17 15:25:00+05:30,-0.897133935,0.897133935,118785.6169,0.008971339350000001
50,3/28/2016,Monday,MONDAY HIGH > WEDNESDAY HIGH,WEDNESDAY LOW < THURSDAY LOW,False,3/28/2016,Monday,7742.7,2016-03-28 09:15:00+05:30,3/30/2016,Wednesday,7741.65,2016-03-30 15:23:00+05:30,7644.2,2016-03-30 09:43:00+05:30,3/31/2016,Thursday,7585.1,7702.3,2016-03-31 14:57:00+05:30,0.265281166,-0.265281166,118470.5011,-0.00265281166
51,3/31/2016,Thursday,THURSDAY HIGH > FRIDAY HIGH,FRIDAY LOW < MONDAY LOW,False,3/31/2016,Thursday,7777.15,2016-03-31 10:20:00+05:30,4/1/2016,Friday,7739.95,2016-04-01 09:56:00+05:30,7667.2,2016-04-01 13:25:00+05:30,4/4/2016,Monday,7742.7,7704.65,2016-04-04 12:45:00+05:30,0.343469233,-0.343469233,118063.5913,-0.00343469233
52,4/4/2016,Monday,MONDAY HIGH > WEDNESDAY HIGH,WEDNESDAY LOW > THURSDAY LOW,True,4/4/2016,Monday,7764.3,2016-04-04 15:26:00+05:30,4/6/2016,Wednesday,7638.05,2016-04-06 09:15:00+05:30,7592.05,2016-04-06 13:58:00+05:30,4/7/2016,Thursday,7777.15,7536.05,2016-04-07 15:16:00+05:30,-1.156557979,1.156557979,119429.0652,0.01156557979
53,4/7/2016,Thursday,THURSDAY HIGH > FRIDAY HIGH,FRIDAY LOW > MONDAY LOW,True,4/7/2016,Thursday,7630.4,2016-04-07 09:15:00+05:30,4/8/2016,Friday,7569.05,2016-04-08 11:10:00+05:30,7526.95,2016-04-08 09:29:00+05:30,4/11/2016,Monday,7764.3,7517.1,2016-04-11 13:06:00+05:30,1.161516835,-1.161516835,118041.8765,-0.01161516835
54,4/21/2016,Thursday,THURSDAY HIGH > FRIDAY HIGH,FRIDAY LOW > MONDAY LOW,True,4/21/2016,Thursday,7978.4,2016-04-21 09:20:00+05:30,4/22/2016,Friday,7923.25,2016-04-22 12:07:00+05:30,7879.45,2016-04-22 09:33:00+05:30,4/25/2016,Monday,7920.35,7827.25,2016-04-25 14:44:00+05:30,-0.379363632,0.379363632,118489.6845,0.00379363632
55,4/28/2016,Thursday,THURSDAY HIGH > FRIDAY HIGH,FRIDAY LOW > MONDAY LOW,True,4/28/2016,Thursday,7991.85,2016-04-28 10:04:00+05:30,4/29/2016,Friday,7888.95,2016-04-29 09:56:00+05:30,7790.55,2016-04-29 13:25:00+05:30,5/2/2016,Monday,7910.4,7777.75,2016-05-02 11:16:00+05:30,-0.198780472,0.198780472,118725.2188,0.0019878047200000003
56,5/2/2016,Monday,MONDAY HIGH > WEDNESDAY HIGH,WEDNESDAY LOW < THURSDAY LOW,False,5/2/2016,Monday,7829.55,2016-05-02 12:05:00+05:30,5/4/2016,Wednesday,7748.85,2016-05-04 11:50:00+05:30,7697.6,2016-05-04 15:16:00+05:30,5/5/2016,Thursday,7991.85,7707.0,2016-05-05 13:22:00+05:30,0.099599017,-0.099599017,118606.9697,-0.00099599017
57,5/5/2016,Thursday,THURSDAY HIGH > FRIDAY HIGH,FRIDAY LOW < MONDAY LOW,False,5/5/2016,Thursday,7777.35,2016-05-05 14:09:00+05:30,5/6/2016,Friday,7738.0,2016-05-06 15:16:00+05:30,7678.75,2016-05-06 09:21:00+05:30,5/9/2016,Monday,7829.55,7755.25,2016-05-09 09:15:00+05:30,1.460945811,-1.460945811,116874.1861,-0.01460945811
58,5/12/2016,Thursday,THURSDAY HIGH > FRIDAY HIGH,FRIDAY LOW > MONDAY LOW,True,5/12/2016,Thursday,7915.9,2016-05-12 09:43:00+05:30,5/13/2016,Friday,7879.85,2016-05-13 09:26:00+05:30,7784.6,2016-05-13 12:33:00+05:30,5/16/2016,Monday,7873.2,7772.35,2016-05-16 12:53:00+05:30,0.358821126,-0.358821126,116454.8168,-0.00358821126
59,5/19/2016,Thursday,THURSDAY HIGH > FRIDAY HIGH,FRIDAY LOW > MONDAY LOW,True,5/19/2016,Thursday,7875.5,2016-05-19 09:15:00+05:30,5/20/2016,Friday,7811.8,2016-05-20 13:01:00+05:30,7738.3,2016-05-20 15:08:00+05:30,5/23/2016,Monday,7873.7,7722.5,2016-05-23 15:26:00+05:30,-1.082679055,1.082679055,117715.6488,0.01082679055
60,6/9/2016,Thursday,THURSDAY HIGH > FRIDAY HIGH,FRIDAY LOW > MONDAY LOW,True,6/9/2016,Thursday,8269.95,2016-06-09 09:15:00+05:30,6/10/2016,Friday,8264.85,2016-06-10 11:04:00+05:30,8162.95,2016-06-10 15:11:00+05:30,6/13/2016,Monday,8234.45,8064.0,2016-06-13 12:04:00+05:30,0.132679194,-0.132679194,117559.4646,-0.00132679194
61,6/20/2016,Monday,MONDAY HIGH > WEDNESDAY HIGH,WEDNESDAY LOW < THURSDAY LOW,False,6/20/2016,Monday,8243.7,2016-06-20 15:15:00+05:30,6/22/2016,Wednesday,8238.2,2016-06-22 09:50:00+05:30,8153.65,2016-06-22 13:45:00+05:30,6/23/2016,Thursday,8180.65,8188.35,2016-06-23 10:03:00+05:30,0.819287391,-0.819287391,116596.3147,-0.00819287391
62,6/23/2016,Thursday,THURSDAY HIGH > FRIDAY HIGH,FRIDAY LOW < MONDAY LOW,False,6/23/2016,Thursday,8285.3,2016-06-23 14:51:00+05:30,6/24/2016,Friday,8099.5,2016-06-24 15:08:00+05:30,7927.35,2016-06-24 12:30:00+05:30,6/27/2016,Monday,8243.7,8039.35,2016-06-27 09:15:00+05:30,0.657391456,-0.657391456,115829.8205,-0.0065739145600000005
63,7/7/2016,Thursday,THURSDAY HIGH > FRIDAY HIGH,FRIDAY LOW < MONDAY LOW,False,7/7/2016,Thursday,8361.65,2016-07-07 14:11:00+05:30,7/8/2016,Friday,8350.4,2016-07-08 09:15:00+05:30,8287.65,2016-07-08 09:37:00+05:30,7/11/2016,Monday,8398.3,8408.9,2016-07-11 09:15:00+05:30,0.672740347,-0.672740347,115050.5866,-0.00672740347
64,7/18/2016,Monday,MONDAY HIGH > WEDNESDAY HIGH,WEDNESDAY LOW > THURSDAY LOW,True,7/18/2016,Monday,8587.1,2016-07-18 12:43:00+05:30,7/20/2016,Wednesday,8569.15,2016-07-20 15:28:00+05:30,8542.3,2016-07-20 10:24:00+05:30,7/21/2016,Thursday,8570.5,8504.1,2016-07-21 15:29:00+05:30,-0.903561816,0.903561816,116090.1397,0.00903561816
65,7/21/2016,Thursday,THURSDAY HIGH > FRIDAY HIGH,FRIDAY LOW < MONDAY LOW,False,7/21/2016,Thursday,8584.85,2016-07-21 09:15:00+05:30,7/22/2016,Friday,8547.55,2016-07-22 15:29:00+05:30,8490.25,2016-07-22 09:42:00+05:30,7/25/2016,Monday,8587.1,8519.55,2016-07-25 09:15:00+05:30,1.29636911,-1.29636911,114585.183,-0.0129636911
66,7/28/2016,Thursday,THURSDAY HIGH > FRIDAY HIGH,FRIDAY LOW > MONDAY LOW,True,7/28/2016,Thursday,8673.65,2016-07-28 15:24:00+05:30,7/29/2016,Friday,8669.15,2016-07-29 11:28:00+05:30,8631.9,2016-07-29 15:05:00+05:30,8/1/2016,Monday,8640.9,8590.75,2016-08-01 13:16:00+05:30,-0.084926917,0.084926917,114682.4967,0.00084926917
67,8/1/2016,Monday,MONDAY HIGH > WEDNESDAY HIGH,WEDNESDAY LOW > THURSDAY LOW,True,8/1/2016,Monday,8711.15,2016-08-01 10:29:00+05:30,8/3/2016,Wednesday,8634.6,2016-08-03 09:15:00+05:30,8530.8,2016-08-03 15:17:00+05:30,8/4/2016,Thursday,8673.65,8518.35,2016-08-04 14:25:00+05:30,-0.444188629,0.444188629,115191.9033,0.00444188629
68,8/8/2016,Monday,MONDAY HIGH > WEDNESDAY HIGH,WEDNESDAY LOW > THURSDAY LOW,True,8/8/2016,Monday,8723.1,2016-08-08 09:23:00+05:30,8/10/2016,Wednesday,8689.3,2016-08-10 09:16:00+05:30,8564.8,2016-08-10 15:17:00+05:30,8/11/2016,Thursday,8599.95,8540.2,2016-08-11 14:12:00+05:30,0.247877006,-0.247877006,114906.3691,-0.00247877006
69,8/22/2016,Monday,MONDAY HIGH > WEDNESDAY HIGH,WEDNESDAY LOW > THURSDAY LOW,True,8/22/2016,Monday,8684.65,2016-08-22 09:22:00+05:30,8/24/2016,Wednesday,8660.45,2016-08-24 09:15:00+05:30,8621.7,2016-08-24 14:09:00+05:30,8/25/2016,Thursday,8689.95,8584.1,2016-08-25 15:29:00+05:30,-0.879222315,0.879222315,115916.6515,0.00879222315
70,8/25/2016,Thursday,THURSDAY HIGH > FRIDAY HIGH,FRIDAY LOW > MONDAY LOW,True,8/25/2016,Thursday,8682.85,2016-08-25 09:40:00+05:30,8/26/2016,Friday,8622.85,2016-08-26 09:38:00+05:30,8548.05,2016-08-26 14:40:00+05:30,8/29/2016,Monday,8684.65,8544.0,2016-08-29 09:59:00+05:30,0.412989661,-0.412989661,115437.9277,-0.00412989661
71,9/8/2016,Thursday,THURSDAY HIGH > FRIDAY HIGH,FRIDAY LOW > MONDAY LOW,True,9/8/2016,Thursday,8960.15,2016-09-08 15:06:00+05:30,9/9/2016,Friday,8936.8,2016-09-09 09:15:00+05:30,8859.0,2016-09-09 15:15:00+05:30,9/12/2016,Monday,8621.95,8700.35,2016-09-12 09:15:00+05:30,-0.202108108,0.202108108,115671.2371,0.00202108108
72,9/12/2016,Monday,MONDAY HIGH > WEDNESDAY HIGH,WEDNESDAY LOW < THURSDAY LOW,False,9/12/2016,Monday,8746.7,2016-09-12 09:24:00+05:30,9/14/2016,Wednesday,8739.35,2016-09-14 15:29:00+05:30,8688.95,2016-09-14 10:33:00+05:30,9/15/2016,Thursday,8960.15,8704.45,2016-09-15 10:18:00+05:30,0.054323896,-0.054323896,115608.4,-0.00054323896
73,9/22/2016,Thursday,THURSDAY HIGH > FRIDAY HIGH,FRIDAY LOW > MONDAY LOW,True,9/22/2016,Thursday,8892.2,2016-09-22 09:16:00+05:30,9/23/2016,Friday,8882.15,2016-09-23 09:15:00+05:30,8821.7,2016-09-23 15:27:00+05:30,9/26/2016,Monday,8824.25,8715.15,2016-09-26 15:13:00+05:30,-0.971854812,0.971854812,116731.9458,0.00971854812
74,9/26/2016,Monday,MONDAY HIGH > WEDNESDAY HIGH,WEDNESDAY LOW > THURSDAY LOW,True,9/26/2016,Monday,8808.0,2016-09-26 09:15:00+05:30,9/28/2016,Wednesday,8766.4,2016-09-28 14:35:00+05:30,8703.75,2016-09-28 09:23:00+05:30,9/29/2016,Thursday,8892.2,8559.15,2016-09-29 12:47:00+05:30,-1.992423898,1.992423898,119057.741,0.019924238979999998
75,9/29/2016,Thursday,THURSDAY HIGH > FRIDAY HIGH,FRIDAY LOW < MONDAY LOW,False,9/29/2016,Thursday,8800.4,2016-09-29 09:15:00+05:30,9/30/2016,Friday,8636.35,2016-09-30 14:35:00+05:30,8567.6,2016-09-30 12:29:00+05:30,10/3/2016,Monday,8808.0,8635.15,2016-10-03 09:23:00+05:30,0.855050974,-0.855050974,118039.7366,-0.00855050974
76,10/6/2016,Thursday,THURSDAY HIGH > FRIDAY HIGH,FRIDAY LOW < MONDAY LOW,False,10/6/2016,Thursday,8780.9,2016-10-06 12:51:00+05:30,10/7/2016,Friday,8723.4,2016-10-07 09:24:00+05:30,8664.6,2016-10-07 13:16:00+05:30,10/10/2016,Monday,8745.15,8704.1,2016-10-10 15:12:00+05:30,-0.237540568,0.237540568,118320.1289,0.00237540568
77,10/13/2016,Thursday,THURSDAY HIGH > FRIDAY HIGH,FRIDAY LOW > MONDAY LOW,True,10/13/2016,Thursday,8673.1,2016-10-13 09:15:00+05:30,10/14/2016,Friday,8604.15,2016-10-14 13:47:00+05:30,8550.15,2016-10-14 09:56:00+05:30,10/17/2016,Monday,8745.35,8506.35,2016-10-17 15:00:00+05:30,-1.01310358,1.01310358,119518.8343,0.010131035799999999
78,10/20/2016,Thursday,THURSDAY HIGH > FRIDAY HIGH,FRIDAY LOW < MONDAY LOW,False,10/20/2016,Thursday,8726.9,2016-10-20 09:58:00+05:30,10/21/2016,Friday,8708.6,2016-10-21 09:15:00+05:30,8652.1,2016-10-21 11:22:00+05:30,10/24/2016,Monday,8614.3,8684.2,2016-10-24 09:34:00+05:30,0.020666257,-0.020666257,119494.1343,-0.00020666257
79,10/24/2016,Monday,MONDAY HIGH > WEDNESDAY HIGH,WEDNESDAY LOW > THURSDAY LOW,True,10/24/2016,Monday,8736.35,2016-10-24 13:37:00+05:30,10/26/2016,Wednesday,8657.3,2016-10-26 09:15:00+05:30,8596.85,2016-10-26 14:49:00+05:30,10/27/2016,Thursday,8726.9,8550.4,2016-10-27 12:05:00+05:30,0.06157707,-0.06157707,119420.5533,-0.0006157707
80,11/3/2016,Thursday,THURSDAY HIGH > FRIDAY HIGH,FRIDAY LOW < MONDAY LOW,False,11/3/2016,Thursday,8537.55,2016-11-03 11:07:00+05:30,11/4/2016,Friday,8503.6,2016-11-04 09:15:00+05:30,8400.5,2016-11-04 14:36:00+05:30,11/7/2016,Monday,8736.35,8481.75,2016-11-07 15:27:00+05:30,-0.554725712,0.554725712,120083.0098,0.005547257119999999
81,11/7/2016,Monday,MONDAY HIGH > WEDNESDAY HIGH,WEDNESDAY LOW < THURSDAY LOW,False,11/7/2016,Monday,8535.75,2016-11-07 09:15:00+05:30,11/9/2016,Wednesday,8475.75,2016-11-09 14:35:00+05:30,8003.0,2016-11-09 09:16:00+05:30,11/10/2016,Thursday,8537.55,8511.0,2016-11-10 15:27:00+05:30,-0.284316937,0.284316937,120424.4261,0.00284316937
82,11/17/2016,Thursday,THURSDAY HIGH > FRIDAY HIGH,FRIDAY LOW > MONDAY LOW,True,11/17/2016,Thursday,8150.95,2016-11-17 09:25:00+05:30,11/18/2016,Friday,8128.75,2016-11-18 13:22:00+05:30,8048.4,2016-11-18 09:46:00+05:30,11/21/2016,Monday,8535.75,7916.45,2016-11-21 15:05:00+05:30,-1.965539798,1.965539798,122791.4161,0.01965539798
83,11/21/2016,Monday,MONDAY HIGH > WEDNESDAY HIGH,WEDNESDAY LOW > THURSDAY LOW,True,11/21/2016,Monday,8102.1,2016-11-21 09:15:00+05:30,11/23/2016,Wednesday,8053.85,2016-11-23 09:15:00+05:30,7974.95,2016-11-23 10:19:00+05:30,11/24/2016,Thursday,8150.95,7953.15,2016-11-24 15:10:00+05:30,-0.468683692,0.468683692,123366.9195,0.00468683692
84,12/1/2016,Thursday,THURSDAY HIGH > FRIDAY HIGH,FRIDAY LOW > MONDAY LOW,True,12/1/2016,Thursday,8250.7,2016-12-01 09:22:00+05:30,12/2/2016,Friday,8158.85,2016-12-02 13:45:00+05:30,8070.75,2016-12-02 15:02:00+05:30,12/5/2016,Monday,8146.45,8056.9,2016-12-05 12:10:00+05:30,0.621851337,-0.621851337,122599.7606,-0.0062185133699999996
85,12/15/2016,Thursday,THURSDAY HIGH > FRIDAY HIGH,FRIDAY LOW > MONDAY LOW,True,12/15/2016,Thursday,8225.8,2016-12-15 10:23:00+05:30,12/16/2016,Friday,8178.45,2016-12-16 09:15:00+05:30,8128.45,2016-12-16 12:25:00+05:30,12/19/2016,Monday,8228.35,8094.95,2016-12-19 15:21:00+05:30,-0.302116663,0.302116663,122970.155,0.00302116663
86,12/19/2016,Monday,MONDAY HIGH > WEDNESDAY HIGH,WEDNESDAY LOW > THURSDAY LOW,True,12/19/2016,Monday,8132.5,2016-12-19 10:48:00+05:30,12/21/2016,Wednesday,8111.45,2016-12-21 09:15:00+05:30,8054.1,2016-12-21 15:17:00+05:30,12/22/2016,Thursday,8225.8,7965.05,2016-12-22 13:34:00+05:30,-0.704264749,0.704264749,123836.1904,0.007042647490000001
87,12/22/2016,Thursday,THURSDAY HIGH > FRIDAY HIGH,FRIDAY LOW > MONDAY LOW,True,12/22/2016,Thursday,8045.1,2016-12-22 09:15:00+05:30,12/23/2016,Friday,8022.35,2016-12-23 13:27:00+05:30,7942.2,2016-12-23 10:24:00+05:30,12/26/2016,Monday,8132.5,7893.9,2016-12-26 09:44:00+05:30,-0.66100865,0.66100865,124654.7583,0.0066100865
88,1/19/2017,Thursday,THURSDAY HIGH > FRIDAY HIGH,FRIDAY LOW > MONDAY LOW,True,1/19/2017,Thursday,8445.05,2017-01-19 15:03:00+05:30,1/20/2017,Friday,8423.45,2017-01-20 09:20:00+05:30,8342.05,2017-01-20 14:42:00+05:30,1/23/2017,Monday,8426.7,8328.05,2017-01-23 09:15:00+05:30,0.821167883,-0.821167883,123631.1335,-0.00821167883
89,2/2/2017,Thursday,THURSDAY HIGH > FRIDAY HIGH,FRIDAY LOW < MONDAY LOW,False,2/2/2017,Thursday,8756.9,2017-02-02 14:20:00+05:30,2/3/2017,Friday,8747.7,2017-02-03 09:57:00+05:30,8707.75,2017-02-03 11:42:00+05:30,2/6/2017,Monday,8662.55,8770.2,2017-02-06 13:40:00+05:30,0.121223159,-0.121223159,123481.2639,-0.00121223159
90,2/6/2017,Monday,MONDAY HIGH > WEDNESDAY HIGH,WEDNESDAY LOW < THURSDAY LOW,False,2/6/2017,Monday,8814.0,2017-02-06 13:09:00+05:30,2/8/2017,Wednesday,8791.15,2017-02-08 15:20:00+05:30,8715.15,2017-02-08 14:35:00+05:30,2/9/2017,Thursday,8756.9,8724.45,2017-02-09 11:28:00+05:30,-0.102324471,0.102324471,123607.6155,0.00102324471
91,2/13/2017,Monday,MONDAY HIGH > WEDNESDAY HIGH,WEDNESDAY LOW < THURSDAY LOW,False,2/13/2017,Monday,8826.45,2017-02-13 09:15:00+05:30,2/15/2017,Wednesday,8807.65,2017-02-15 09:16:00+05:30,8714.95,2017-02-15 13:59:00+05:30,2/16/2017,Thursday,8821.2,8719.95,2017-02-16 09:40:00+05:30,0.443986726,-0.443986726,123058.8141,-0.00443986726
92,3/2/2017,Thursday,THURSDAY HIGH > FRIDAY HIGH,FRIDAY LOW < MONDAY LOW,False,3/2/2017,Thursday,8992.35,2017-03-02 11:30:00+05:30,3/3/2017,Friday,8906.9,2017-03-03 15:23:00+05:30,8860.7,2017-03-03 12:57:00+05:30,3/6/2017,Monday,8951.55,8914.7,2017-03-06 09:18:00+05:30,0.532803895,-0.532803895,122403.1519,-0.00532803895
93,3/6/2017,Monday,MONDAY HIGH > WEDNESDAY HIGH,WEDNESDAY LOW < THURSDAY LOW,False,3/6/2017,Monday,8967.75,2017-03-06 11:05:00+05:30,3/8/2017,Wednesday,8956.8,2017-03-08 09:26:00+05:30,8892.25,2017-03-08 11:45:00+05:30,3/9/2017,Thursday,8992.35,8900.5,2017-03-09 09:15:00+05:30,0.149195132,-0.149195132,122220.5324,-0.00149195132
94,3/20/2017,Monday,MONDAY HIGH > WEDNESDAY HIGH,WEDNESDAY LOW < THURSDAY LOW,False,3/20/2017,Monday,9166.95,2017-03-20 09:15:00+05:30,3/22/2017,Wednesday,9072.7,2017-03-22 09:19:00+05:30,9019.4,2017-03-22 14:58:00+05:30,3/23/2017,Thursday,9158.1,9048.6,2017-03-23 10:01:00+05:30,0.365243818,-0.365243818,121774.1294,-0.00365243818
95,4/6/2017,Thursday,THURSDAY HIGH > FRIDAY HIGH,FRIDAY LOW > MONDAY LOW,True,4/6/2017,Thursday,9267.6,2017-04-06 15:20:00+05:30,4/7/2017,Friday,9250.45,2017-04-07 14:15:00+05:30,9188.7,2017-04-07 15:12:00+05:30,4/10/2017,Monday,9244.6,9174.85,2017-04-10 13:06:00+05:30,-0.528962886,0.528962886,122418.2694,0.005289628859999999
